Address,Longitude,Latitude,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Zipcode
"Nygårdsvej 41A, 2. tv",55.711602,12.570685,3895000,Ejerlejlighed,3.0,1969.0,lav,480.0,141,78.0,76,51250,C,2100
"Strandboulevarden 101, 2. th",55.707667,12.585303,6495000,Ejerlejlighed,4.0,1920.0,lav,554.0,148,134.0,101,64306,C,2100
"Kildevældsgade 64, 4. ",55.714347,12.571365,8495000,Ejerlejlighed,4.0,1907.0,lav,666.0,79,260.0,138,61557,C,2100
"Rosenvængets Hovedvej 48, st. 4",55.701222,12.587771,6195000,Ejerlejlighed,3.0,1920.0,lav,638.0,124,249.0,88,70397,B,2100
H.C. Lumbyes Gade 39,55.714634,12.57267,13495000,Rækkehus,6.0,1902.0,lav,652.0,136,298.0,149,90570,C,2100
"Vennemindevej 51, 1. tv",55.712536,12.568853,4795000,Ejerlejlighed,3.0,1920.0,lav,635.0,77,189.0,86,55755,D,2100
"Faksegade 19, 4. th",55.700628,12.57992,7795000,Ejerlejlighed,5.0,1920.0,lav,143.0,99,53.0,108,72175,D,2100
"Korsørgade 32, 4. th",55.707103,12.583675,4195000,Ejerlejlighed,2.0,1920.0,lav,486.0,145,121.0,65,64538,C,2100
"Aldersrogade 7, 2. th",55.706462,12.560792,2998000,Ejerlejlighed,2.0,1920.0,lav,918.0,81,138.0,52,57653,C,2100
"Scherfigsvej 13, 4. tv",55.72194,12.580712,10495000,Ejerlejlighed,4.0,1920.0,lav,464.0,595,242.0,117,89700,A,2100
"Marstalsgade 29, 4. tv",55.704026,12.588378,4750000,Ejerlejlighed,3.0,1920.0,lav,801.0,87,224.0,75,63333,C,2100
"J.E. Ohlsens Gade 14, 3. tv",55.701493,12.579969,15500000,Ejerlejlighed,5.0,1920.0,lav,212.0,194,67.0,186,83333,D,2100
"Amerika Plads 26B, 5. 1",55.69976,12.594286,9250000,Ejerlejlighed,3.0,1920.0,lav,568.5,303,193.0,124,74596,B,2100
"Victor Bendix Gade 24, st. tv",55.711876,12.56654,4750000,Ejerlejlighed,4.0,1968.0,lav,730.0,91,261.0,102,46568,C,2100
Østerbrogade 92A,55.70123,12.578177,14500000,Rækkehus,4.0,1920.0,lav,142.0,191,32.0,160,90625,C,2100
"Østerbrogade 52, 5. th",55.6971694,12.5795786,15250000,Ejerlejlighed,3.0,1898.0,lav,311.0,251,7.0,140,108928,C,2100
"Scherfigsvej 25, st. tv",55.721823,12.58244,8995000,Ejerlejlighed,3.0,1920.0,lav,522.0,645,327.0,120,74958,A,2100
Voldmestergade 31,55.693675,12.576325,14995000,Rækkehus,6.0,1876.0,lav,705.0,215,373.0,129,116240,C,2100
"Strandboulevarden 107, 2. tv",55.708361,12.584956,7495000,Ejerlejlighed,4.0,1920.0,lav,511.0,127,211.0,107,70046,C,2100
"Stockholmsgade 37, 4. tv",55.69132,12.579757,9750000,Ejerlejlighed,4.0,1920.0,lav,965.0,136,445.0,152,64144,C,2100
"Lyngbyvej 75, st. ",55.711665,12.55989,5495000,Ejerlejlighed,3.0,1920.0,lav,568.5,76,138.0,77,71363,C,2100
"Lyngbyvej 32D, 8. mf",55.709542,12.562279,3195000,Ejerlejlighed,2.0,1972.0,lav,945.0,56,27.0,64,49921,B,2100
"Kristianiagade 4, 1. ",55.69361,12.586044,13245000,Ejerlejlighed,6.0,1905.0,lav,871.0,324,227.0,218,60756,D,2100
"Upsalagade 22, st. th",55.69226,12.5802,11995000,Ejerlejlighed,5.0,1920.0,lav,865.0,146,513.0,179,67011,C,2100
"Petersborgvej 6, 3. 4",55.700869,12.581736,5195000,Ejerlejlighed,3.0,1920.0,lav,259.0,112,80.0,83,62590,C,2100
"Viborggade 61, 2. th",55.705767,12.583746,4295000,Ejerlejlighed,2.0,1920.0,lav,579.0,104,121.0,67,64104,C,2100
"Langelinie Allé 29, 1. mf",55.698936,12.59988,11390000,Ejerlejlighed,3.0,2001.0,lav,568.5,515,360.0,144,79097,B,2100
"Viborggade 43, 1. th",55.705582,12.582144,5995000,Ejerlejlighed,3.0,1920.0,lav,526.0,86,211.0,93,64462,D,2100
"Strandvejen 95, st. tv",55.7222,12.577177,7195000,Ejerlejlighed,4.0,1920.0,lav,416.0,502,192.0,128,56210,D,2100
"H.P. Ørums Gade 34, st. ",55.711422,12.559631,5495000,Villalejlighed,3.0,1908.0,lav,568.5,106,154.0,79,69556,B,2100
"Drejøgade 35, 2. 23",55.711985,12.571007,2895000,Ejerlejlighed,2.0,1979.0,lav,487.0,134,43.0,64,45234,D,2100
"Nordre Frihavnsgade 87, st. th",55.703629,12.588979,3795000,Ejerlejlighed,2.0,1920.0,lav,810.0,130,251.0,65,58384,C,2100
"Vibekegade 11, st. tv",55.706173,12.555864,4995000,Ejerlejlighed,3.0,1920.0,lav,627.0,162,239.0,72,69375,E,2100
"Nordre Frihavnsgade 61, 2. tv",55.702978,12.584565,5595000,Ejerlejlighed,3.0,1920.0,lav,536.0,153,38.0,78,71730,D,2100
"Øster Farimagsgade 30, 2. th",55.691493,12.576457,13495000,Ejerlejlighed,6.0,1920.0,lav,944.0,62,308.0,179,75391,C,2100
"Sortedam Dossering 65A, 4. ",55.694447,12.5724,16595000,Ejerlejlighed,6.0,1920.0,lav,708.0,58,121.0,188,88271,C,2100
"Scherfigsvej 21, 2. tv",55.721898,12.581768,9250000,Ejerlejlighed,4.0,1920.0,lav,494.0,627,293.0,123,75203,A,2100
"Rosenvængets Hovedvej 38, 2. th",55.701168,12.586897,4245000,Ejerlejlighed,2.0,1938.0,lav,583.0,71,221.0,58,73189,D,2100
Niels W. Gades Gade 25,55.714081,12.574147,12995000,Rækkehus,7.0,1920.0,lav,559.0,244,238.0,136,95551,C,2100
"Ryvangs Allé 22A, 2. ",55.721472,12.572055,7595000,Ejerlejlighed,3.0,1920.0,lav,633.0,464,384.0,136,55845,D,2100
"Amerika Plads 18, 4. 1",55.699262,12.594257,4900000,Ejerlejlighed,3.0,1920.0,lav,568.5,331,138.0,81,60493,B,2100
