Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Hvidager 54,55.663125,12.33332,3850000,Villa,5,,mellem,"1,49",308,217,165,23333,N/A,https://www.dingeo.dk/adresse/2620-albertslund/hvidager-54/
Tranehusene 30,55.675829,12.350938,2995000,Rækkehus,4,1972,meget lav,"2,15",152,921,112,26741,C,https://www.dingeo.dk/adresse/2620-albertslund/tranehusene-30/
Hvidager 34,55.66303,12.335071,3845000,Villa,4,1972,mellem,"1,39",388,244,130,29576,C,https://www.dingeo.dk/adresse/2620-albertslund/hvidager-34/
Skærager 38,55.662909,12.327844,4295000,Villa,5,1966,mellem,"1,79",217,376,159,27012,E,https://www.dingeo.dk/adresse/2620-albertslund/sk%C3%A6rager-38/
Falkehusene 39,55.674468,12.356151,2998000,Rækkehus,4,1968,lav,"2,00",147,966,108,27759,C,https://www.dingeo.dk/adresse/2620-albertslund/falkehusene-39/
Mölndalsparken 38,55.660237,12.335931,2695000,Rækkehus,4,1986,mellem,"1,20",386,213,94,28670,B,https://www.dingeo.dk/adresse/2620-albertslund/m%C3%B6lndalsparken-38/
Enebærhaven 77,55.678328,12.352147,3798000,Villa,4,1962,meget lav,"2,42",383,1.162,121,31388,D,https://www.dingeo.dk/adresse/2620-albertslund/eneb%C3%A6rhaven-77/
Rønne Alle 10,55.663767,12.356803,4250000,Villa,5,1934,lav,829,351,322,106,40094,D,https://www.dingeo.dk/adresse/2620-albertslund/r%C3%B8nne%20alle-10/
Egebo 24A,55.666169,12.340211,3399000,Ejerlejlighed,5,2008,lav,"1,37",691,453,128,26554,B,https://www.dingeo.dk/adresse/2620-albertslund/egebo-24a/
Lange Eng 40,55.664883,12.34427,4695000,Rækkehus,6,,lav,"1,10",435,680,128,36679,A2010,https://www.dingeo.dk/adresse/2620-albertslund/lange%20eng-40/
Fasanhusene 19,55.674561,12.358719,3150000,Rækkehus,4,1968,lav,"2,03",300,804,106,29716,C,https://www.dingeo.dk/adresse/2620-albertslund/fasanhusene-19/
"Topperne 32, st. 2",55.670512,12.342948,899000,Ejerlejlighed,1,,lav,"1,70",296,232,33,27242,C,https://www.dingeo.dk/adresse/2620-albertslund/topperne-32/st-2/
Blankager 23,55.672209,12.339168,4595000,Villa,5,1966,mellem,"1,97",212,150,167,27514,D,https://www.dingeo.dk/adresse/2620-albertslund/blankager-23/
Enebærhaven 79,55.678661,12.352163,3295000,Villa,4,1975,meget lav,"2,46",418,1.190,126,26150,C,https://www.dingeo.dk/adresse/2620-albertslund/eneb%C3%A6rhaven-79/
Skærager 1,55.662281,12.330073,4798000,Villa,4,1972,mellem,"1,63",129,219,172,27895,D,https://www.dingeo.dk/adresse/2620-albertslund/sk%C3%A6rager-1/
Egebo 27,55.665939,12.340165,2995000,Ejerlejlighed,4,2008,lav,"1,35",692,477,99,30252,B,https://www.dingeo.dk/adresse/2620-albertslund/egebo-27/
Askebo 11,55.665036,12.342059,3895000,Rækkehus,5,2013,lav,"1,20",572,605,126,30912,A,https://www.dingeo.dk/adresse/2620-albertslund/askebo-11/
"Topperne 12, st. 2",55.671114,12.341644,925000,Ejerlejlighed,1,1971,lav,"1,79",303,149,33,28030,C,https://www.dingeo.dk/adresse/2620-albertslund/topperne-12/st-2/
Egebo 14A,55.665952,12.33959,3895000,Ejerlejlighed,6,,lav,"1,38",728,471,172,22645,B,https://www.dingeo.dk/adresse/2620-albertslund/egebo-14a/
Grønneled 7,55.661374,12.354229,3695000,Villa,4,1959,lav,540,505,423,95,38894,D,https://www.dingeo.dk/adresse/2620-albertslund/gr%C3%B8nneled-7/
Vridsløsestræde 33,55.659204,12.330265,2850000,Helårsgrund,8,,mellem,"1,52",214,270,865,3294,N/A,https://www.dingeo.dk/adresse/2620-albertslund/vridsl%C3%B8sestr%C3%A6de-33/
Jægerhusene 10,55.672086,12.356157,3095000,Rækkehus,5,1968,lav,"1,74",356,978,108,28657,C,https://www.dingeo.dk/adresse/2620-albertslund/j%C3%A6gerhusene-10/
Skyttehusene 24,55.672216,12.358045,2695000,Rækkehus,5,1968,lav,"1,76",403,857,106,25424,B,https://www.dingeo.dk/adresse/2620-albertslund/skyttehusene-24/
Tranehusene 76,55.675501,12.350101,2898000,Rækkehus,4,1972,meget lav,"2,12",133,857,112,25875,C,https://www.dingeo.dk/adresse/2620-albertslund/tranehusene-76/
