Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Kirkebjerg Alle 5,55.661031,12.401974,3495000,Villa,4,1941,mellem,448,219,59,77,45389,G,https://www.dingeo.dk/adresse/2600-glostrup/kirkebjerg%20alle-5/
Bjergbakkevej 122,55.698178,12.407733,5695000,Villa,5,1972,mellem,"2,55",216,98,171,33304,B,https://www.dingeo.dk/adresse/2600-glostrup/bjergbakkevej-122/
Yasmin-Rose Stien 33,55.698401,12.391542,1995000,Fritidshus,3,2017,lav,"2,57",935,1.041,63,31666,N/A,https://www.dingeo.dk/adresse/2600-glostrup/yasmin-rose%20stien-33/
"Østervej 13A, st. tv",55.667204,12.392263,1795000,Ejerlejlighed,2,,mellem,326,124,165,57,31491,N/A,https://www.dingeo.dk/adresse/2600-glostrup/%C3%B8stervej-13a/st-tv/
"Stadionvej 43, 1. 32",55.666435,12.382469,2295000,Ejerlejlighed,3,,lav,902,307,150,83,27650,C,https://www.dingeo.dk/adresse/2600-glostrup/stadionvej-43/1-32/
"Sydvestvej 27, 2. 1",55.662953,12.393725,1795000,Ejerlejlighed,1,,mellem,346,93,317,44,40795,A2015,https://www.dingeo.dk/adresse/2600-glostrup/sydvestvej-27/2-1/
Elmehusene 132,55.672722,12.378757,2995000,Rækkehus,4,1968,lav,"1,38",573,490,96,31197,C,https://www.dingeo.dk/adresse/2600-glostrup/elmehusene-132/
Gaaseager 73,55.681237,12.425224,4195000,Rækkehus,5,2017,mellem,"1,72",698,1.719,124,33830,A,https://www.dingeo.dk/adresse/2600-glostrup/gaaseager-73/
Ejbyholm 36,55.699673,12.426255,999000,Fritidshus,3,1979,høj,"2,13",745,1.207,43,23232,N/A,https://www.dingeo.dk/adresse/2600-glostrup/ejbyholm-36/
Elmehusene 179,55.672605,12.382412,2575000,Rækkehus,4,1967,lav,"1,19",393,674,96,26822,B,https://www.dingeo.dk/adresse/2600-glostrup/elmehusene-179/
"Brøndbyvestervej 11, 1. tv",55.661733,12.40406,969594,Andelsbolig,2,,mellem,438,69,98,65,14916,D,https://www.dingeo.dk/adresse/2600-glostrup/br%C3%B8ndbyvestervej-11/1-tv/
Irisvej 5,55.663268,12.409885,2975000,Villa,5,1930,mellem,659,349,506,146,20376,E,https://www.dingeo.dk/adresse/2600-glostrup/irisvej-5/
"Tranemosevej 7, 2. th",55.659544,12.404762,2595000,Ejerlejlighed,3,100 MBit,mellem,669,298,247,77,33701,N/A,https://www.dingeo.dk/adresse/2600-glostrup/tranemosevej-7/2-th/
"Magnoliavej 2, 1. tv",55.660484,12.405877,1875000,Ejerlejlighed,3,,mellem,619,207,231,63,29761,D,https://www.dingeo.dk/adresse/2600-glostrup/magnoliavej-2/1-tv/
Solvangsvej 39,55.671563,12.395611,4749000,Villa,6,1943,mellem,663,360,679,127,37393,D,https://www.dingeo.dk/adresse/2600-glostrup/solvangsvej-39/
Staudevej 7,55.661678,12.415398,3795000,Villa,4,1969,mellem,"1,05",64,814,124,30604,D,https://www.dingeo.dk/adresse/2600-glostrup/staudevej-7/
Stisager 100,55.684739,12.422259,9495000,Villa,6,2015,mellem,"2,15",805,1.672,205,46317,A2010,https://www.dingeo.dk/adresse/2600-glostrup/stisager-100/
"Stationsparken 35, 2. 2",55.661516,12.3939,3295000,Ejerlejlighed,3,,mellem,485,251,475,94,35053,N/A,https://www.dingeo.dk/adresse/2600-glostrup/stationsparken-35/2-2/
Enighedsvej 34,55.659262,12.407419,3995000,Villa,6,1925,mellem,786,371,387,139,28741,D,https://www.dingeo.dk/adresse/2600-glostrup/enighedsvej-34/
"Kirkebjerg Parkvej 2B, 2. tv",55.661084,12.394084,3995000,Ejerlejlighed,4,,mellem,527,300,525,110,36318,A2015,https://www.dingeo.dk/adresse/2600-glostrup/kirkebjerg%20parkvej-2b/2-tv/
Byparkvej 96,55.675001,12.409978,5495000,Villa,6,1967,mellem,"1,29",343,1.286,159,34559,D,https://www.dingeo.dk/adresse/2600-glostrup/byparkvej-96/
Spurvevej 24,55.678995,12.403175,3995000,Villa,4,1955,høj,"1,54",270,1.567,83,48132,C,https://www.dingeo.dk/adresse/2600-glostrup/spurvevej-24/
"Magnoliavej 28, 1. tv",55.661161,12.406005,1392160,Andelsbolig,3,1944,mellem,567,144,217,80,17402,C,https://www.dingeo.dk/adresse/2600-glostrup/magnoliavej-28/1-tv/
Lunddalsvej 4,55.66743,12.406173,5695000,Villa,5,1953,mellem,487,409,489,125,45560,C,https://www.dingeo.dk/adresse/2600-glostrup/lunddalsvej-4/
Lilje-Rose Stien 1,55.698019,12.394223,2295000,Fritidshus,3,2018,lav,"2,58",759,867,63,36428,N/A,https://www.dingeo.dk/adresse/2600-glostrup/lilje-rose%20stien-1/
Brandsbjergvej 10,55.70061,12.409828,5495000,Villa,4,1973,mellem,"2,32",516,390,134,41007,E,https://www.dingeo.dk/adresse/2600-glostrup/brandsbjergvej-10/
Ejbydalsvej 103B,55.70196,12.408073,4095000,Rækkehus,4,1872,mellem,"2,14",616,518,186,22016,E,https://www.dingeo.dk/adresse/2600-glostrup/ejbydalsvej-103b/
